Neutron Flux (n/cm²/s),Complex Viscosity (Pa·s)
1.738508922644475,-6.041998788761536,Clay/PCL
7.467417737439148,-5.113443268989771,Clay/PCL
7.880048775161324,-3.5694741281731592,Clay/PCL
1.738508922644475,-1.5313678671201634,graphite nanoplates/PCL
7.467417737439148,4.833675440228776,graphite nanoplates/PCL
7.880048775161324,4.74320600153818,graphite nanoplates/PCL
1.738508922644475,-4.395940689164046,Barium strontium titanate/PCL
7.467417737439148,-4.499651635396395,Barium strontium titanate/PCL
7.880048775161324,-4.464665484775213,Barium strontium titanate/PCL
1.738508922644475,3.202782981060917,exfoliated graphite/PCL
7.467417737439148,2.9351517353481142,exfoliated graphite/PCL
7.880048775161324,2.977445483724518,exfoliated graphite/PCL
1.738508922644475,7.894544534391016,OMMT/PCL
7.467417737439148,7.738284393609869,OMMT/PCL
7.880048775161324,7.647843389167226,OMMT/PCL
