Drying Temperature (°C),Crystallinity (%)
1.5595261708144226,1.93451952926036,Unsaturated polyester resin
5.190381361234633,3.9988918460385765,Unsaturated polyester resin
8.013291803237294,2.504380723624565,Unsaturated polyester resin
8.801825424210044,3.883831996856109,Unsaturated polyester resin
18.137099200346857,0.3790646612755486,Unsaturated polyester resin
1.5595261708144226,-0.6962393458972962,sPP
5.190381361234633,-1.0480536187104896,sPP
8.013291803237294,-0.2314287037140268,sPP
8.801825424210044,2.1176848476087704,sPP
18.137099200346857,-3.1183015447151483,sPP
