Shear Rate (1/s),Heat Capacity (J/K)
11,8.026009544895564,
12,32.01785755336465,
14,-3.861055043737478,
15,33.767201822813284,
18,440.5155167857768,
11,11.322248438608131,
12,63.9597096883584,
14,69.72586938779448,
15,139.11668344442475,
18,-244.53895452217714,
11,38.62550207557537,
12,45.97466726980318,
14,60.034433023239615,
15,277.1564518391449,
18,-169.76875077726328,
11,6.4369360937617985,
12,6.432565453975327,
14,6.416292378111185,
15,6.412952232137726,
18,6.406581716608737,
