Particle Size (nm),Thermal Diffusivity (mm²/s)
3,2.871903005147213,triglycidyl para-aminophenol
5,2.8893251215198283,triglycidyl para-aminophenol
18,2.3659797482134945,triglycidyl para-aminophenol
3.3287766058995705,-0.02884996879409396,PMMA
10.481692151239645,13.74081659466808,PMMA
16.377243718490632,-12.989503107118006,PMMA
4,5.429940209764337,Poly(2-vinyl pyridine)
12,5.089904419547931,Poly(2-vinyl pyridine)
17,5.070075468278741,Poly(2-vinyl pyridine)
0,-5.8487965606163055,Poly(2-hydroxyethyl acrylate)
2,-6.583210829471854,Poly(2-hydroxyethyl acrylate)
8,-6.955914712223975,Poly(2-hydroxyethyl acrylate)
0,5.238316988944377,PA 66
13,83.48603974458017,PA 66
17,237.39117739667753,PA 66
