Solvent Concentration (M),Peel Strength (N/m)
0.16851551981505564,-5.01736668371542,0.03% Carbon nanofibers
2.019063211812817,-4.405955998359789,0.03% Carbon nanofibers
9.062140260130851,-4.37836833920043,0.03% Carbon nanofibers
11.675692932812536,-1.5769752695884716,0.03% Carbon nanofibers
16.745753304017327,5.002118164081361,0.03% Carbon nanofibers
0.16851551981505564,-6.8612672904543786,0.7% Carbon nanofibers
2.019063211812817,-7.27821816315801,0.7% Carbon nanofibers
9.062140260130851,-7.6976056116368845,0.7% Carbon nanofibers
11.675692932812536,-7.73780986926921,0.7% Carbon nanofibers
16.745753304017327,-7.7579305728482915,0.7% Carbon nanofibers
0.16851551981505564,-2.1199718955300613,0.12% Carbon nanofibers
2.019063211812817,-0.8951230858068793,0.12% Carbon nanofibers
9.062140260130851,8.052775129512387,0.12% Carbon nanofibers
11.675692932812536,19.435762114914596,0.12% Carbon nanofibers
16.745753304017327,149.04349103334545,0.12% Carbon nanofibers
