Pore Volume (cm³/g),Magnetic Susceptibility
1.5701791356706485,1.6650413887486848,P(Baph)
1.6280549631998342,2.0743051765778735,P(Baph)
10.922657145708403,3.210531443161165,P(Baph)
12.927014566045044,5.714582681667748,P(Baph)
13.204927696853213,-1.4805345018480391,P(Baph)
15.817186163804525,4.673910678474161,P(Baph)
18.7163129956499,10.863137645146544,P(Baph)
1.5701791356706485,-1.8049606566006153,PETP
1.6280549631998342,-1.6555508102223262,PETP
10.922657145708403,-0.7687098810554733,PETP
12.927014566045044,-4.2154583962869765,PETP
13.204927696853213,0.0965320709064148,PETP
15.817186163804525,-2.604738738053606,PETP
18.7163129956499,13.636764774343332,PETP
1.5701791356706485,6.3711063416611795,PVOH
1.6280549631998342,6.844458985496372,PVOH
10.922657145708403,5.946038027493085,PVOH
12.927014566045044,5.92700229112616,PVOH
13.204927696853213,5.92679163683878,PVOH
15.817186163804525,5.914747225285644,PVOH
18.7163129956499,5.909901246196482,PVOH
