Dispersing Time (min),Compressive Modulus (GPa)
13.361009743194616,-4.848521282750608,OFG/PMMA
15.750104621433426,-4.928478581548867,OFG/PMMA
16.960148086370932,-4.963768780044161,OFG/PMMA
13.361009743194616,-5.448422986853816,Aluminium oxide/PMMA
15.750104621433426,-5.511315287807475,Aluminium oxide/PMMA
16.960148086370932,-5.54507262877904,Aluminium oxide/PMMA
13.361009743194616,68.45553083724583,fumed silica/PMMA
15.750104621433426,32.2162167595714,fumed silica/PMMA
16.960148086370932,316.0098318285346,fumed silica/PMMA
13.361009743194616,2.7239094410935945,multi-walled CNTs/PMMA
15.750104621433426,7.385970690160676,multi-walled CNTs/PMMA
16.960148086370932,-1.0549597614985768,multi-walled CNTs/PMMA
13.361009743194616,1.4852454058281768,OMLS/PMMA
15.750104621433426,1.4754412565953647,OMLS/PMMA
16.960148086370932,1.4726018394101943,OMLS/PMMA
