Electric Field (V/m),Tensile Strength (MPa)
2,4.669295807928509,graphene platelet/PMS
3,5.705820846845226,graphene platelet/PMS
8,7.331605003786657,graphene platelet/PMS
18,-1.781363558984884,graphene platelet/PMS
7.276417885162427,-0.8568213050810247,OAPS/PMS
15.38206470077476,-1.0880157836633404,OAPS/PMS
16.558533488990502,-1.1135487510817104,OAPS/PMS
17.362607162284775,-1.1299593495161377,OAPS/PMS
4.363236617431914,4.514064652209784,MWNT/PMS
9.443601896138638,4.320695215425191,MWNT/PMS
17.138502719684087,4.269668627616129,MWNT/PMS
19.79873785242685,4.266372714060312,MWNT/PMS
3,6.41120419055891,multi-walled carbon nanotube/PMS
5,6.882975739066452,multi-walled carbon nanotube/PMS
14,16.152668838785253,multi-walled carbon nanotube/PMS
17,9.32147022521845,multi-walled carbon nanotube/PMS
3,6.117433723754666,cellulose nanowhiskers/PMS
9,5.798992623788971,cellulose nanowhiskers/PMS
11,5.719086328564752,cellulose nanowhiskers/PMS
18,5.551603534363547,cellulose nanowhiskers/PMS
