Ion Beam Dose (Gy),Heat Of Fusion (J/g)
7,-7.5774323585017775,Triphenyl phosphate/PAMS
14,-7.687742946932911,Triphenyl phosphate/PAMS
16,-7.69383827289718,Triphenyl phosphate/PAMS
7,-4.6987309137268545,Titanium dioxide/PAMS
14,-5.02984535639061,Titanium dioxide/PAMS
16,-5.068160096800257,Titanium dioxide/PAMS
7,-0.8535361549634344,barium titanate/PAMS
14,-0.9530537834818041,barium titanate/PAMS
16,-0.9600620527927005,barium titanate/PAMS
7,-1.2865161266157465,Barium Titanate/PAMS
14,-1.5794194307990463,Barium Titanate/PAMS
16,-1.6118565848270967,Barium Titanate/PAMS
7,-2.1176444168950264,exfoliated graphite/PAMS
14,32.640311367509184,exfoliated graphite/PAMS
16,-91.87107228055812,exfoliated graphite/PAMS
