Crystallization Temperature (°C),Complex Modulus (Pa)
6.862351312120563,1.3464896305705831,alumina/PET
9.419199092278813,1.2520108592408774,alumina/PET
9.875210158655594,1.2515970838159238,alumina/PET
14.503910658875814,1.2080216464673867,alumina/PET
14.943064941146249,1.2069041449600442,alumina/PET
17.28570510318489,1.2011825721293525,alumina/PET
19.857801680646197,1.1981120982775444,alumina/PET
6.862351312120563,10.011299384689874,graphite oxide/PET
9.419199092278813,20.729460433202437,graphite oxide/PET
9.875210158655594,24.673699162300224,graphite oxide/PET
14.503910658875814,201.43177122795538,graphite oxide/PET
14.943064941146249,74.4336424062305,graphite oxide/PET
17.28570510318489,487.36104934721965,graphite oxide/PET
19.857801680646197,865.8724377493185,graphite oxide/PET
6.862351312120563,6.500811360926754,SWCNTs/PET
9.419199092278813,25.371516121112254,SWCNTs/PET
9.875210158655594,0.6210211375167063,SWCNTs/PET
14.503910658875814,114.76788213698862,SWCNTs/PET
14.943064941146249,-152.5183683574285,SWCNTs/PET
17.28570510318489,234.42455772638291,SWCNTs/PET
19.857801680646197,-98.86952400064936,SWCNTs/PET
6.862351312120563,-4.584086023277927,cellulose nanowhiskers/PET
9.419199092278813,-4.632722818396826,cellulose nanowhiskers/PET
9.875210158655594,-4.596792366877463,cellulose nanowhiskers/PET
14.503910658875814,-4.7843726003070985,cellulose nanowhiskers/PET
14.943064941146249,-4.795720036176937,cellulose nanowhiskers/PET
17.28570510318489,-4.835069807142144,cellulose nanowhiskers/PET
19.857801680646197,-4.879580893224108,cellulose nanowhiskers/PET
