Crosslinking Density (mol/m³),Complex Viscosity (Pa·s)
3.082508725049813,2.0021869598554307,0.26% fumed silica
12.726457224564784,65.9851679431015,0.26% fumed silica
13.699931480088116,66.91726616970598,0.26% fumed silica
3.082508725049813,6.1067492377560875,0.69% fumed silica
12.726457224564784,9.540081383875322,0.69% fumed silica
13.699931480088116,3.579816411023018,0.69% fumed silica
3.082508725049813,-1.5995223232656932,0.36% fumed silica
12.726457224564784,1.6598205466323428,0.36% fumed silica
13.699931480088116,3.1436661683997063,0.36% fumed silica
3.082508725049813,1.1246474441126222,0.05% fumed silica
12.726457224564784,0.7475076129714538,0.05% fumed silica
13.699931480088116,0.7427083901338953,0.05% fumed silica
