Polymer Molecular Weight (g/mol),X-ray Diffraction Intensity
0.6686104063257514,-0.1425334029354799,
2.814101229436514,-0.5039470297319653,
6.246373731994499,-0.6856802115856288,
18.92878217136283,-1.1433562002308038,
19.336534565951577,-1.148289584440199,
0.48485112435133537,5.0010089777582944,
0.6900471617507842,5.138014453588392,
2.965301084583276,4.6057211717916715,
5.290461304676388,4.4501589224563585,
16.079657219490933,4.2579597366745805,
3,-1.0945882743028634,
6,-1.417678174258638,
7,-1.4715463826406647,
12,-1.5525807420638968,
17,-1.5762187488667814,
