Storage Time (days),Passivation Current Density (A/m²)
2,6.589440815356934,0.49% TiNT/PAM
6,6.174927975250078,0.49% TiNT/PAM
9,6.088845930140896,0.49% TiNT/PAM
14,6.029841437528161,0.49% TiNT/PAM
2,7.543049911204369,0.05% TiNT/PAM
6,7.248384341088439,0.05% TiNT/PAM
9,7.25217833262382,0.05% TiNT/PAM
14,7.044044186762382,0.05% TiNT/PAM
2,-5.036143055297993,0.92% TiNT/PAM
6,-5.23908539032852,0.92% TiNT/PAM
9,-5.311413041189236,0.92% TiNT/PAM
14,-5.468470462496825,0.92% TiNT/PAM
2,3.5499969028180867,0.29% TiNT/PAM
6,3.191723461696552,0.29% TiNT/PAM
9,3.06415957144004,0.29% TiNT/PAM
14,3.0234917569167306,0.29% TiNT/PAM
2,-1.4192884197972233,0.18% TiNT/PAM
6,-0.4802654341024235,0.18% TiNT/PAM
9,0.2885981766569241,0.18% TiNT/PAM
14,5.776967652993662,0.18% TiNT/PAM
