Incubation Temperature (°C),Tensile Strength (MPa)
7,9.32827847146674,
11,22.363687046595512,
14,18.312048623948254,
16,60.59118779796975,
7,-1.9433125697983396,
11,-2.0391765310415337,
14,-2.0630128884026466,
16,-2.0694338322441634,
7,4.702205119702498,
11,4.622635542692503,
14,4.6042210831835675,
16,4.598398057037055,
7,-2.468797464719388,
11,-3.894166284626312,
14,-2.367049854744308,
16,4.238453983928544,
7,0.08590540790571932,
11,3.8867220695692595,
14,1.1096973627514015,
16,2.374621889751083,
