Evaporation Temperature (°C),Pore Volume (cm³/g)
0,-2.157287359395477,0.71% OFG/PEMA
6,-2.843627925701179,0.71% OFG/PEMA
9,-2.9605029752449616,0.71% OFG/PEMA
12,-2.9950401637057245,0.71% OFG/PEMA
17,-3.0168394734906547,0.71% OFG/PEMA
19,-3.019055262916842,0.71% OFG/PEMA
0,6.115830432680001,0.37% OFG/PEMA
6,5.920208342893607,0.37% OFG/PEMA
9,5.722835311727332,0.37% OFG/PEMA
12,5.597795924598243,0.37% OFG/PEMA
17,5.499704340841134,0.37% OFG/PEMA
19,5.474147410339458,0.37% OFG/PEMA
0,6.219397028297632,0.4% OFG/PEMA
6,7.581419996471341,0.4% OFG/PEMA
9,21.731996311212413,0.4% OFG/PEMA
12,41.34361443593862,0.4% OFG/PEMA
17,97.19561565297693,0.4% OFG/PEMA
19,-178.64601926784766,0.4% OFG/PEMA
0,-4.090719257948339,0.75% OFG/PEMA
6,2.4064006449450073,0.75% OFG/PEMA
9,5.969019160400894,0.75% OFG/PEMA
12,21.378850131278988,0.75% OFG/PEMA
17,-113.68424570117334,0.75% OFG/PEMA
19,906.0948795242779,0.75% OFG/PEMA
