Stress (Pa),Toughness (MJ/m³)
3.4301092758783702,-6.788553798820439,Bisphenol E cyanate ester resin
10.261002218128507,-6.932018108515128,Bisphenol E cyanate ester resin
12.422350075469048,-7.038712443899193,Bisphenol E cyanate ester resin
13.947054139501262,-7.039372904816207,Bisphenol E cyanate ester resin
1,0.8231561073609566,NVE
6,0.33099973065768706,NVE
7,0.2849956212947806,NVE
17,0.16164617756644134,NVE
12.243462777035806,-5.35113760198961,DGEBF
12.3619529965836,-5.351951770442912,DGEBF
14.750952512002101,-5.364365564951384,DGEBF
19.47228082515052,-5.372752296806028,DGEBF
