Specific Surface Area (m²/g),Magnetization (A/m)
6.845594731177556,15.798224176677062,0.03% Barium titanate
7.9411710117162615,26.136480632182774,0.03% Barium titanate
8.821338184763261,10.324380341363494,0.03% Barium titanate
17.915344488477242,248.36831027458857,0.03% Barium titanate
6.845594731177556,4.2674741703782555,0.7% Barium titanate
7.9411710117162615,2.331341257749844,0.7% Barium titanate
8.821338184763261,1.6874805275554015,0.7% Barium titanate
17.915344488477242,15.84625027090457,0.7% Barium titanate
6.845594731177556,6.1390080702138174,0.56% Barium titanate
7.9411710117162615,6.1152041590420145,0.56% Barium titanate
8.821338184763261,6.099139875308487,0.56% Barium titanate
17.915344488477242,5.849272534982146,0.56% Barium titanate
