Polymer Molecular Weight (g/mol),Permittivity
0.8375059910882565,-1.4439504430572412,0.27% Titanate nanotubes/Poly(benzoxazine)
11.374740785185459,0.4734720859348842,0.27% Titanate nanotubes/Poly(benzoxazine)
12.346000190156499,-2.7848315549532034,0.27% Titanate nanotubes/Poly(benzoxazine)
17.9451759054951,17.299928258038022,0.27% Titanate nanotubes/Poly(benzoxazine)
6.98332326115056,-2.2381415714591086,0.84% Titanate nanotubes/Poly(benzoxazine)
11.996688806249479,-0.5647313745285687,0.84% Titanate nanotubes/Poly(benzoxazine)
12.851089156395014,1.6701118281109597,0.84% Titanate nanotubes/Poly(benzoxazine)
17.257193970764447,-3.1601727796012966,0.84% Titanate nanotubes/Poly(benzoxazine)
0,3.155854334369163,0.93% Titanate nanotubes/Poly(benzoxazine)
5,8.75634223758798,0.93% Titanate nanotubes/Poly(benzoxazine)
9,15.333913962381393,0.93% Titanate nanotubes/Poly(benzoxazine)
15,172.99539639778993,0.93% Titanate nanotubes/Poly(benzoxazine)
