Reaction Time (h),Hysteresis Loss (J/m³)
10.275363776566074,2.606170278028836,0.58% Copper(II) phenyl phosphate/PA 8
12.544108637393602,2.554387547332854,0.58% Copper(II) phenyl phosphate/PA 8
18.598331960390524,2.4238747520695902,0.58% Copper(II) phenyl phosphate/PA 8
19.942156285797402,2.398461028196821,0.58% Copper(II) phenyl phosphate/PA 8
19.99410559053627,2.409706416983589,0.58% Copper(II) phenyl phosphate/PA 8
10.275363776566074,6.2768829395039765,0.57% Copper(II) phenyl phosphate/PA 8
12.544108637393602,6.256402270143836,0.57% Copper(II) phenyl phosphate/PA 8
18.598331960390524,6.236325686795848,0.57% Copper(II) phenyl phosphate/PA 8
19.942156285797402,6.235050557854864,0.57% Copper(II) phenyl phosphate/PA 8
19.99410559053627,6.234987861446884,0.57% Copper(II) phenyl phosphate/PA 8
