Particle Diameter (nm),Dielectric Loss
0,2.1010548389481407,
3,2.2285321824775406,
5,1.9039965743500662,
11,1.6787859096969926,
12,1.6101619528400668,
16,1.5142237709904898,
19,1.4609795309005207,
0,6.332941888602575,
3,8.938235815988474,
5,10.820446367663386,
11,53.240664349887716,
12,54.299825513974874,
16,46.10200622351197,
19,-214.8589962527664,
0,2.1501720529727693,
3,1.7664733381096585,
5,2.0131357143089637,
11,1.637875023035774,
12,1.6061843368021895,
16,1.5061985159243065,
19,1.4831285154481386,
0,8.93871206050664,
3,10.390040467215263,
5,11.432263430941418,
11,59.79209005193502,
12,-1.1957743334490658,
16,58.853479828436306,
19,80.372123001483,
