Holding Time (min),Elongation At Break (%)
5.91895787507841,5.484115579340138,0.58% Acetylene black/XNBR
6.562611601690433,5.516655765602808,0.58% Acetylene black/XNBR
7.365203860683877,5.350887309442415,0.58% Acetylene black/XNBR
9.35989961994467,5.362849346666292,0.58% Acetylene black/XNBR
17.79166439136766,5.060206037658042,0.58% Acetylene black/XNBR
5.91895787507841,5.52622083306429,0.98% Acetylene black/XNBR
6.562611601690433,5.607916079059358,0.98% Acetylene black/XNBR
7.365203860683877,5.460452095606105,0.98% Acetylene black/XNBR
9.35989961994467,5.392803347205968,0.98% Acetylene black/XNBR
17.79166439136766,5.21984176770169,0.98% Acetylene black/XNBR
5.91895787507841,5.002744747145726,0.35% Acetylene black/XNBR
6.562611601690433,4.989068234914602,0.35% Acetylene black/XNBR
7.365203860683877,4.952657441739445,0.35% Acetylene black/XNBR
9.35989961994467,4.892828946635645,0.35% Acetylene black/XNBR
17.79166439136766,4.843597130463433,0.35% Acetylene black/XNBR
