Stress (Pa),Thermal Conductivity (W/(m·K))
4.590550998781005,5.969185161808994,EPDM rubber
7.189226766322239,5.284148119211973,EPDM rubber
17.20702916340642,24.41644162629652,EPDM rubber
4.624005786555047,3.2074208029887075,Unsaturated polyester resin
9.528549872491771,3.0274592171179746,Unsaturated polyester resin
13.058695080393166,8.459715602759866,Unsaturated polyester resin
12,63.218201802066105,PBA-a
16,-138.9389515175663,PBA-a
19,-33.30164183003275,PBA-a
2.7666269548538502,1.9814890109011887,TGDDM
7.275261864334704,11.131390908360967,TGDDM
19.470000699235534,115.19240200018544,TGDDM
