Frequency (Hz),Loss Modulus (Pa)
0.8580029234696163,-3.048734421869632,0.84% sodium montmorillonite/Nylon 66
3.585596351010112,-3.4008858927141907,0.84% sodium montmorillonite/Nylon 66
5.061780483751102,-3.523666893973807,0.84% sodium montmorillonite/Nylon 66
5.757386007179759,-3.5550188730948356,0.84% sodium montmorillonite/Nylon 66
13.876859118667577,-3.6929839856838775,0.84% sodium montmorillonite/Nylon 66
0.8580029234696163,7.284684954962349,0.93% sodium montmorillonite/Nylon 66
3.585596351010112,6.67243238805627,0.93% sodium montmorillonite/Nylon 66
5.061780483751102,6.569955630247521,0.93% sodium montmorillonite/Nylon 66
5.757386007179759,6.490333021154821,0.93% sodium montmorillonite/Nylon 66
13.876859118667577,6.335591121329538,0.93% sodium montmorillonite/Nylon 66
0.8580029234696163,7.298340692155509,0.75% sodium montmorillonite/Nylon 66
3.585596351010112,6.686048751074499,0.75% sodium montmorillonite/Nylon 66
5.061780483751102,6.580678435141038,0.75% sodium montmorillonite/Nylon 66
5.757386007179759,6.5612109257768365,0.75% sodium montmorillonite/Nylon 66
13.876859118667577,6.397862609836681,0.75% sodium montmorillonite/Nylon 66
