Stress (Pa),Viscosity (Pa·s)
0,0.8270631387542668,Molybdenum Disulphide/PS-I
4,0.47887369102016053,Molybdenum Disulphide/PS-I
9,0.33794849937364085,Molybdenum Disulphide/PS-I
10,0.2822373530433663,Molybdenum Disulphide/PS-I
17,0.12900325836412518,Molybdenum Disulphide/PS-I
0,-4.6660349617182035,C.I. Pigment Black 6/PS-I
4,-4.237058658642777,C.I. Pigment Black 6/PS-I
9,-3.292748155620279,C.I. Pigment Black 6/PS-I
10,-4.312099691398367,C.I. Pigment Black 6/PS-I
17,-8.873051806410247,C.I. Pigment Black 6/PS-I
0,-3.30776172752182,Calcium Carbonate/PS-I
4,-2.656334307524788,Calcium Carbonate/PS-I
9,0.8883653940741034,Calcium Carbonate/PS-I
10,-0.3675962113528155,Calcium Carbonate/PS-I
17,-3.5127403109880078,Calcium Carbonate/PS-I
