Stirring Speed (rpm),Compression Strength (MPa)
0,-2.3516624201604177,
1,-2.151570844209779,
3,-2.5217712778907715,
11,-2.9582831967406955,
17,-2.98929840968907,
0,-5.933506285524301,
1,-6.023997139310955,
3,-4.443171004619037,
11,7.936671321968827,
17,-128.00228471604652,
0,5.412558302547632,
1,4.955210121743237,
3,4.862107237861292,
11,4.5698118452834855,
17,4.424472983720733,
0,1.403895080766752,
1,1.1880119522467196,
3,0.4120466067105697,
11,0.1360908476871879,
17,0.10441713246729363,
0,8.674021680197804,
1,8.393547651916192,
3,8.141199940717092,
11,7.821092996328838,
17,7.676918309300769,
