Film Thickness (µm),Intrinsic Viscosity (dl/g)
4.253787413388919,6.244274451302711,0.67% multi-walled CNTs
13.006612907111975,92.03437301636924,0.67% multi-walled CNTs
13.04453022104089,102.83669955038297,0.67% multi-walled CNTs
13.650848998105294,30.140573575938674,0.67% multi-walled CNTs
4.253787413388919,-0.8026353844570246,0.31% multi-walled CNTs
13.006612907111975,-1.0852927853215655,0.31% multi-walled CNTs
13.04453022104089,-1.0864093645064332,0.31% multi-walled CNTs
13.650848998105294,-1.0882738254541449,0.31% multi-walled CNTs
4.253787413388919,-4.537618941212214,0.82% multi-walled CNTs
13.006612907111975,-4.823955307741015,0.82% multi-walled CNTs
13.04453022104089,-4.822873023924614,0.82% multi-walled CNTs
13.650848998105294,-4.825098630514041,0.82% multi-walled CNTs
4.253787413388919,7.53050678337937,0.35% multi-walled CNTs
13.006612907111975,22.18061457846821,0.35% multi-walled CNTs
13.04453022104089,47.64620565331466,0.35% multi-walled CNTs
13.650848998105294,134.96188314873058,0.35% multi-walled CNTs
4.253787413388919,-2.8743798620844063,0.87% multi-walled CNTs
13.006612907111975,-3.061263705459866,0.87% multi-walled CNTs
13.04453022104089,-3.1079937746292723,0.87% multi-walled CNTs
13.650848998105294,-3.0974717170778376,0.87% multi-walled CNTs
