Glass Transition Temperature (°C),Particle Size (nm)
0,-4.811206798515466,Poly(vinyl alcohol)/PVA
2,-3.9477020494122064,Poly(vinyl alcohol)/PVA
7,-2.576191432668534,Poly(vinyl alcohol)/PVA
13,-3.2115723064747543,Poly(vinyl alcohol)/PVA
16,-0.8451390186369041,Poly(vinyl alcohol)/PVA
0,-1.0763246679148242,9-Anthracenemethanol/PVA
9,1.4376511334950877,9-Anthracenemethanol/PVA
16,2.751943565038224,9-Anthracenemethanol/PVA
18,7.9194680991902455,9-Anthracenemethanol/PVA
19,-5.092952129256666,9-Anthracenemethanol/PVA
1,-6.1502823850954345,silica gel/PVA
8,1.6398486869063795,silica gel/PVA
9,19.039072453506975,silica gel/PVA
10,4.716857931762144,silica gel/PVA
13,85.04654716740377,silica gel/PVA
