Heat Treatment Time (h),Loss Modulus (Pa)
5.281883260313663,8.108622991480036,Thermal black/Poly(acrylic acid)
7.427841887290352,6.461656312174833,Thermal black/Poly(acrylic acid)
7.770922280852082,7.117567664577452,Thermal black/Poly(acrylic acid)
13.950880375233464,4.179224574761928,Thermal black/Poly(acrylic acid)
16.230740413445723,14.749337744710125,Thermal black/Poly(acrylic acid)
5.281883260313663,5.5755346588435195,Bentonite/Poly(acrylic acid)
7.427841887290352,5.490246529154894,Bentonite/Poly(acrylic acid)
7.770922280852082,5.504737545685683,Bentonite/Poly(acrylic acid)
13.950880375233464,5.413167070383315,Bentonite/Poly(acrylic acid)
16.230740413445723,5.4061699283179445,Bentonite/Poly(acrylic acid)
