Storage Time (days),Magnetic Susceptibility
7,-2.43164214495067,zinc oxide/PRX
13,-2.5490335516671987,zinc oxide/PRX
14,-2.553848504838849,zinc oxide/PRX
16,-2.5603010404589845,zinc oxide/PRX
19,-2.565234755036885,zinc oxide/PRX
7,1.246877130161688,Polyaniline/PRX
13,4.057339807549023,Polyaniline/PRX
14,-0.5738979663207004,Polyaniline/PRX
16,8.802482225566752,Polyaniline/PRX
19,1.1272584919815003,Polyaniline/PRX
7,-4.128387849854784,expanded graphite/PRX
13,-3.817154367503497,expanded graphite/PRX
14,-4.58435592372795,expanded graphite/PRX
16,-10.13544571792864,expanded graphite/PRX
19,4.9178504838983805,expanded graphite/PRX
7,3.7886147411250497,Barium titanate/PRX
13,3.594762026359585,Barium titanate/PRX
14,3.5354807303617712,Barium titanate/PRX
16,3.4950063169073147,Barium titanate/PRX
19,3.447952469329178,Barium titanate/PRX
