Incubation Time (h),Coefficient Of Thermal Expansion (1/K)
2.0343902054233776,3.9733017252088505,graphite nanoplates/Poly(vinyl alcohol)
7.245703941392875,5.060056541047768,graphite nanoplates/Poly(vinyl alcohol)
9.764235882981085,2.4949757946959013,graphite nanoplates/Poly(vinyl alcohol)
13.44286773950108,7.301141830801777,graphite nanoplates/Poly(vinyl alcohol)
16.25581638923887,9.228999811649953,graphite nanoplates/Poly(vinyl alcohol)
5.038244579070366,8.20780241419527,Calcium Carbonate/Poly(vinyl alcohol)
11.106020015914169,7.998484193111718,Calcium Carbonate/Poly(vinyl alcohol)
14.889984742802751,7.973649169802409,Calcium Carbonate/Poly(vinyl alcohol)
19.116684662288964,7.965126048893828,Calcium Carbonate/Poly(vinyl alcohol)
19.241877688906794,7.965053423144602,Calcium Carbonate/Poly(vinyl alcohol)
4,-5.741693005825834,graphene nanoribbon/Poly(vinyl alcohol)
5,-5.855599025828016,graphene nanoribbon/Poly(vinyl alcohol)
15,-6.045043234115741,graphene nanoribbon/Poly(vinyl alcohol)
17,-6.050125859908649,graphene nanoribbon/Poly(vinyl alcohol)
18,-6.05197266646387,graphene nanoribbon/Poly(vinyl alcohol)
