Annealing Temperature (°C),Magnetization (A/m)
8.340025716835072,-6.209086449147361,0.11% Acetylene black/PVA
10.288786808236312,-0.17431726254320878,0.11% Acetylene black/PVA
13.839000444395621,-1.8035412179002375,0.11% Acetylene black/PVA
19.858199937918556,-14.525836553344737,0.11% Acetylene black/PVA
8.340025716835072,1.2615502010107817,0.6% Acetylene black/PVA
10.288786808236312,1.1476805231011615,0.6% Acetylene black/PVA
13.839000444395621,1.0545026853380464,0.6% Acetylene black/PVA
19.858199937918556,0.942263143935859,0.6% Acetylene black/PVA
8.340025716835072,23.893063084122982,0.49% Acetylene black/PVA
10.288786808236312,27.200190129778935,0.49% Acetylene black/PVA
13.839000444395621,95.24129924619609,0.49% Acetylene black/PVA
19.858199937918556,931.7607261305274,0.49% Acetylene black/PVA
