Pore Size (nm),Passivation Current Density (A/m²)
0.46367137820412907,-1.68370232688652,P(VDF-CTFE)
4.1558182733484506,-2.5498549752318267,P(VDF-CTFE)
11.944438247297132,-2.807858393787405,P(VDF-CTFE)
0.46367137820412907,-6.399036814548872,Poly(vinyl alcohol)
4.1558182733484506,-5.42240430860056,Poly(vinyl alcohol)
11.944438247297132,-2.4224656555295017,Poly(vinyl alcohol)
0.46367137820412907,1.0338873345108324,Poly(vinyl butyral)
4.1558182733484506,0.4454528437682738,Poly(vinyl butyral)
11.944438247297132,0.22336314134876092,Poly(vinyl butyral)
0.46367137820412907,7.993582449146206,PVAC
4.1558182733484506,11.364237870510456,PVAC
11.944438247297132,29.745210663611655,PVAC
