Elongation At Break (%),Shear Modulus (GPa)
2,5.995226301660759,
4,5.702667494630091,
12,5.395568953473762,
13,5.396542092456603,
15,5.3369261504371925,
19,5.253869219286399,
2,9.112102429283958,
4,9.305778056544183,
12,43.76736199928848,
13,107.54818162568473,
15,152.96560256105266,
19,442.6551642515166,
2,4.082811176273758,
4,5.798059342073705,
12,66.68357047764522,
13,-17.598564700495004,
15,98.31932017044245,
19,-314.4494265644354,
2,-6.729040716595687,
4,-7.0359208660849255,
12,-7.339406223269764,
13,-7.345863398666118,
15,-7.35486672205094,
19,-7.36231718022165,
