Mixing Time (min),Hysteresis Loss (J/m³)
6,5.087161202892665,0.51% graphite nanoplates
8,4.920853750204859,0.51% graphite nanoplates
11,4.802840899356882,0.51% graphite nanoplates
17,4.70320172586526,0.51% graphite nanoplates
18,4.695209588392555,0.51% graphite nanoplates
19,4.679041990947156,0.51% graphite nanoplates
0,3.8807234615495085,0.83% graphite nanoplates
1,3.8807793825310393,0.83% graphite nanoplates
7,3.4564892363859276,0.83% graphite nanoplates
8,3.396409006987196,0.83% graphite nanoplates
12,3.1898582115338314,0.83% graphite nanoplates
18,3.048592331634204,0.83% graphite nanoplates
