UV Exposure Time (h),Pore Volume (cm³/g)
9,1.057111445835707,Poly(ethyl methacrylate)
17,0.868325709949275,Poly(ethyl methacrylate)
19,0.8345098256100649,Poly(ethyl methacrylate)
9,-3.0225624700581912,PPSF
12,-0.7100917147582013,PPSF
15,-3.795452595973276,PPSF
9,14.977751814338609,PP
13,75.99940510269502,PP
14,122.91601879630203,PP
7,8.540700576216269,Nylon 12
12,12.829539040036133,Nylon 12
16,14.018505207391053,Nylon 12
12.281839326547935,-3.6042261639801243,P4VP
12.29858773489382,-3.6064151670690903,P4VP
12.769174375572213,-3.6087949026388757,P4VP
