Pressure (Pa),Galvanic Potential (V)
1,5.731647794107623,0.22% CCTO ceramics
4,6.207658857575142,0.22% CCTO ceramics
14,6.432288956044859,0.22% CCTO ceramics
1,-2.1002349987730273,0.67% CCTO ceramics
4,-2.1639506866230303,0.67% CCTO ceramics
14,-2.7476057795177615,0.67% CCTO ceramics
1,-1.8185148951047547,0.06% CCTO ceramics
4,-0.7807165305780879,0.06% CCTO ceramics
14,5.965715424426708,0.06% CCTO ceramics
1,-6.066133019339064,0.12% CCTO ceramics
4,-2.913870313982155,0.12% CCTO ceramics
14,79.80837607557541,0.12% CCTO ceramics
