Incubation Time (h),Dielectric Breakdown Strength (MV/m)
0.7569755030465442,-0.48232315845133644,PAI
3.9296113889772166,2.6057057008465083,PAI
8.666615903826502,16.02917433106707,PAI
18.35478666337413,290.0884794560997,PAI
0.7569755030465442,-4.909094230551066,poly-HEMA
3.9296113889772166,-4.979713024082747,poly-HEMA
8.666615903826502,-4.204613910455096,poly-HEMA
18.35478666337413,-1.2072726758742398,poly-HEMA
0.7569755030465442,1.5825326477775061,PB
3.9296113889772166,0.8180856970563424,PB
8.666615903826502,0.5493855111090106,PB
18.35478666337413,0.4942452125458944,PB
