Thermal Diffusivity (mm²/s),Specific Heat (J/(g·K))
6.784750778405366,7.236132244978307,graphene oxide/Polyphenylsulfone
11.578561269451617,7.0958060736734,graphene oxide/Polyphenylsulfone
14.157665101705462,7.024852497672818,graphene oxide/Polyphenylsulfone
6.784750778405366,-4.947103541266421,OFG/Polyphenylsulfone
11.578561269451617,-5.397001844080059,OFG/Polyphenylsulfone
14.157665101705462,-4.9942813304121545,OFG/Polyphenylsulfone
6.784750778405366,2.077375633061536,CCTO ceramics/Polyphenylsulfone
11.578561269451617,1.9549083307679704,CCTO ceramics/Polyphenylsulfone
14.157665101705462,1.8162880499838576,CCTO ceramics/Polyphenylsulfone
6.784750778405366,5.718801501243299,Lead(II) sulfide/Polyphenylsulfone
11.578561269451617,5.430942854047804,Lead(II) sulfide/Polyphenylsulfone
14.157665101705462,5.4047248603461,Lead(II) sulfide/Polyphenylsulfone
