Drying Temperature (°C),Elongation At Break (%)
2.3819108019952084,6.99893973489055,Nylon 6(3)T
4.758838144982955,6.861449967740711,Nylon 6(3)T
7.875001037854794,6.68689075073566,Nylon 6(3)T
16.9171642227206,6.429809479146811,Nylon 6(3)T
18.288643800104477,6.4075977011461696,Nylon 6(3)T
18.673435153654513,6.393141608180506,Nylon 6(3)T
19.05535568889499,6.391577401425368,Nylon 6(3)T
0.042766973129308994,-0.3620255658416749,Poly(styrene-co-acrylonitrile)
0.3512681671817308,-0.6842385488475127,Poly(styrene-co-acrylonitrile)
4.378107479240196,-0.9145472941786923,Poly(styrene-co-acrylonitrile)
6.179155063386956,-1.0112186717979381,Poly(styrene-co-acrylonitrile)
7.670678671548517,-1.032891927176122,Poly(styrene-co-acrylonitrile)
15.10788429026362,-1.2991666705268252,Poly(styrene-co-acrylonitrile)
18.368189925269874,-1.3761982705752571,Poly(styrene-co-acrylonitrile)
