Nanoparticle Mass (%),Charge Transfer Resistance (Ω·m²)
0,-1.9636869874716274,rGO/CNBR
6,5.662582004718974,rGO/CNBR
12,42.946201158489615,rGO/CNBR
13,71.17820491937435,rGO/CNBR
16,80.66110804955069,rGO/CNBR
18,-15.907077639309405,rGO/CNBR
0,-4.029970643256787,"Iron (II,III) Oxide/CNBR"
6,-4.776458039009921,"Iron (II,III) Oxide/CNBR"
12,-4.941244176601769,"Iron (II,III) Oxide/CNBR"
13,-4.948828810542659,"Iron (II,III) Oxide/CNBR"
16,-4.961425523511885,"Iron (II,III) Oxide/CNBR"
18,-4.964905883105898,"Iron (II,III) Oxide/CNBR"
0,-1.1963271318822832,SWCNT/CNBR
6,6.557419578156182,SWCNT/CNBR
12,8.349851417383777,SWCNT/CNBR
13,8.080395284378247,SWCNT/CNBR
16,216.080478427081,SWCNT/CNBR
18,609.7581194516655,SWCNT/CNBR
0,7.569420205322007,"Iron (II,III) Oxide/CNBR"
6,9.039493983548516,"Iron (II,III) Oxide/CNBR"
12,10.113741000951475,"Iron (II,III) Oxide/CNBR"
13,3.9703959757398852,"Iron (II,III) Oxide/CNBR"
16,8.339329348114767,"Iron (II,III) Oxide/CNBR"
18,20.218688965331623,"Iron (II,III) Oxide/CNBR"
0,-3.6322433965918903,GO/CNBR
6,-4.506556176297516,GO/CNBR
12,-4.609912424512269,GO/CNBR
13,-4.618712635450636,GO/CNBR
16,-4.629137072394325,GO/CNBR
18,-4.632939123328412,GO/CNBR
