Shear Rate (1/s),Adhesion Strength (MPa)
11,12.939213416053164,Ba0.7Sr0.3TiO3/Nylon 6(3)T
12,43.951348520308215,Ba0.7Sr0.3TiO3/Nylon 6(3)T
19,304.1925131647873,Ba0.7Sr0.3TiO3/Nylon 6(3)T
11,1.6312721492893127,single-walled CNT/Nylon 6(3)T
12,1.6239649380948757,single-walled CNT/Nylon 6(3)T
19,1.5981761166638264,single-walled CNT/Nylon 6(3)T
11,-1.1393580929028442,montmorillonite K-10/Nylon 6(3)T
12,-1.2836431482939061,montmorillonite K-10/Nylon 6(3)T
19,9.145323965782556,montmorillonite K-10/Nylon 6(3)T
11,7.977610125871374,"Iron (II,III) Oxide/Nylon 6(3)T"
12,7.979063505790327,"Iron (II,III) Oxide/Nylon 6(3)T"
19,7.805739177264497,"Iron (II,III) Oxide/Nylon 6(3)T"
