Gamma Radiation Dose (Gy),Complex Viscosity (Pa·s)
0.7199192335084814,6.400836605105173,
1.6118747394580257,6.187965635655203,
3.892755600993907,5.822098267385157,
5.852322143424895,5.748059500587266,
7.497102391771195,5.6706042657292794,
16.167911499689346,5.566547797308458,
0.7199192335084814,5.5120709770172365,
1.6118747394580257,5.090881261584057,
3.892755600993907,7.00326040075712,
5.852322143424895,11.287636745160341,
7.497102391771195,5.875679573741089,
16.167911499689346,-32.178009547140284,
0.7199192335084814,3.0607731692748343,
1.6118747394580257,3.5883295865276255,
3.892755600993907,4.021292294942801,
5.852322143424895,7.44375199219294,
7.497102391771195,10.689147277338089,
16.167911499689346,-8.146564643536948,
