material_type,synthesis_type,structural_completeness_score,material_extraction_score_llm,material_extraction_score_human,process_steps_score_llm,process_steps_score_human,equipment_extraction_score_llm,equipment_extraction_score_human,conditions_extraction_score_llm,conditions_extraction_score_human,semantic_accuracy_score_llm,semantic_accuracy_score_human,format_compliance_score_llm,format_compliance_score_human,overall_score_llm,overall_score_human
mat3,syn2,4,3,5,2,4,3,5,4,3,5,2,4,3,5
mat1,syn7,2,4,3,5,2,4,1,4,3,5,2,4,3,5
mat5,syn4,3,2,4,1,3,5,4,4,3,5,2,4,3,5
mat2,syn1,5,3,2,4,5,2,3,4,3,5,2,4,3,5
mat6,syn3,1,5,4,3,2,4,5,4,3,5,2,4,3,5
mat4,syn6,4,2,3,5,4,1,2,4,3,5,2,4,3,5
mat1,syn5,3,4,5,2,1,3,4,4,3,5,2,4,3,5
mat3,syn2,5,1,2,4,3,5,3,4,3,5,2,4,3,5
mat5,syn7,2,3,4,5,2,1,4,4,3,5,2,4,3,5
mat2,syn4,4,5,1,3,4,2,5,4,3,5,2,4,3,5
mat6,syn1,1,2,5,4,3,4,2,4,3,5,2,4,3,5
mat4,syn3,3,4,2,1,5,3,4,4,3,5,2,4,3,5
mat1,syn6,5,3,4,2,1,5,3,4,3,5,2,4,3,5
mat3,syn5,2,5,3,4,2,1,5,4,3,5,2,4,3,5
mat5,syn2,4,1,5,3,4,2,1,4,3,5,2,4,3,5
mat2,syn7,3,2,1,5,3,4,2,4,3,5,2,4,3,5
mat6,syn4,5,4,2,1,5,3,4,4,3,5,2,4,3,5
mat4,syn1,1,3,4,5,2,4,3,4,3,5,2,4,3,5
mat1,syn3,2,5,3,2,4,1,5,4,3,5,2,4,3,5
mat3,syn6,4,2,5,3,1,4,2,4,3,5,2,4,3,5
mat5,syn5,3,4,1,5,2,3,4,4,3,5,2,4,3,5
mat2,syn2,5,1,4,2,3,5,1,4,3,5,2,4,3,5
mat6,syn7,2,3,2,4,5,2,3,4,3,5,2,4,3,5
mat4,syn4,4,5,3,1,4,3,5,4,3,5,2,4,3,5
mat1,syn1,1,2,5,3,2,4,2,4,3,5,2,4,3,5
mat3,syn3,3,4,2,5,1,2,4,4,3,5,2,4,3,5
mat5,syn6,5,3,4,2,3,5,1,4,3,5,2,4,3,5
mat2,syn5,2,1,3,4,5,3,2,4,3,5,2,4,3,5
mat6,syn2,4,2,1,5,4,1,3,4,3,5,2,4,3,5
mat4,syn7,3,5,2,3,2,4,5,4,3,5,2,4,3,5
