material_category,synthesis_method,paper_published_date,source
nanomaterials,PVD,2023,arxiv
nanomaterials,PVD,2023,arxiv
nanomaterials,PVD,2023,arxiv
nanomaterials,PVD,2023,arxiv
nanomaterials,PVD,2023,arxiv
nanomaterials,PVD,2023,arxiv
nanomaterials,PVD,2023,arxiv
nanomaterials,PVD,2023,arxiv
two-dimensional materials,CVD,2019,arxiv
two-dimensional materials,CVD,2019,arxiv
nanomaterials,CVD,2019,arxiv
two-dimensional materials,pulsed laser deposition,2023,arxiv
biomaterials & biological,wet chemical synthesis,2022,chemrxiv
biomaterials & biological,wet chemical synthesis,2022,chemrxiv
hybrid & organic-inorganic,wet chemical synthesis,2022,chemrxiv
other,wet chemical synthesis,2024,chemrxiv
semiconductors & electronic,solid-state,2010,arxiv
ceramics & glasses,solid-state,2010,arxiv
ceramics & glasses,solid-state,2020,chemrxiv
ceramics & glasses,solid-state,2020,chemrxiv
ceramics & glasses,solid-state,2020,chemrxiv
semiconductors & electronic,wet chemical synthesis,2023,chemrxiv
semiconductors & electronic,wet chemical synthesis,2023,chemrxiv
semiconductors & electronic,arc melting & induction melting,2018,arxiv
other,wet chemical synthesis,2022,chemrxiv
nanomaterials,other,2021,arxiv
polymers & soft matter,other,2017,arxiv
framework & porous materials,other,2024,chemrxiv
framework & porous materials,other,2024,chemrxiv
framework & porous materials,other,2024,chemrxiv
framework & porous materials,other,2024,chemrxiv
framework & porous materials,other,2024,chemrxiv
other,other,2024,chemrxiv
other,other,2024,chemrxiv
other,other,2024,chemrxiv
other,other,2024,chemrxiv
other,other,2024,chemrxiv
functional materials,other,2024,chemrxiv
functional materials,other,2024,chemrxiv
functional materials,other,2024,chemrxiv
functional materials,other,2024,chemrxiv
functional materials,other,2024,chemrxiv
other,other,2024,chemrxiv
nanomaterials,other,2024,chemrxiv
functional materials,other,2024,chemrxiv
other,other,2024,chemrxiv
functional materials,other,2024,chemrxiv
functional materials,other,2024,chemrxiv
functional materials,hydrothermal,2022,arxiv
ionic liquids,wet chemical synthesis,2020,chemrxiv
ionic liquids,wet chemical synthesis,2020,chemrxiv
ionic liquids,wet chemical synthesis,2020,chemrxiv
ionic liquids,wet chemical synthesis,2020,chemrxiv
other,other,2020,chemrxiv
ionic liquids,wet chemical synthesis,2020,chemrxiv
ionic liquids,wet chemical synthesis,2020,chemrxiv
ionic liquids,wet chemical synthesis,2020,chemrxiv
ionic liquids,wet chemical synthesis,2020,chemrxiv
ionic liquids,wet chemical synthesis,2020,chemrxiv
ionic liquids,wet chemical synthesis,2020,chemrxiv
semiconductors & electronic,float zone & Bridgman,2011,arxiv
semiconductors & electronic,other,2011,arxiv
ceramics & glasses,other,2020,chemrxiv
nanomaterials,wet chemical synthesis,2019,chemrxiv
functional materials,self-assembly,2019,chemrxiv
functional materials,self-assembly,2019,chemrxiv
functional materials,wet chemical synthesis,2019,chemrxiv
functional materials,self-assembly,2019,chemrxiv
functional materials,self-assembly,2019,chemrxiv
ceramics & glasses,ball milling,2022,chemrxiv
functional materials,wet chemical synthesis,2023,chemrxiv
functional materials,wet chemical synthesis,2023,chemrxiv
functional materials,wet chemical synthesis,2023,chemrxiv
functional materials,wet chemical synthesis,2023,chemrxiv
functional materials,wet chemical synthesis,2023,chemrxiv
functional materials,wet chemical synthesis,2023,chemrxiv
semiconductors & electronic,wet chemical synthesis,2023,arxiv
semiconductors & electronic,other,2023,arxiv
semiconductors & electronic,float zone & Bridgman,2011,arxiv
functional materials,wet chemical synthesis,2023,chemrxiv
functional materials,wet chemical synthesis,2024,chemrxiv
functional materials,self-assembly,2024,chemrxiv
framework & porous materials,wet chemical synthesis,2025,chemrxiv
framework & porous materials,wet chemical synthesis,2025,chemrxiv
framework & porous materials,other,2025,chemrxiv
