Particle Density
Temperature (°C)
Electric Field (V/m)
EV (V)
Particle Size (nm)
Aspect Ratio
Shear Rate (1/s)
Frequency (Hz)
Strain
Stress (Pa)
Thickness (µm)
Film Thickness (µm)
Time (s)
Curing Time (min)
Aging Time (h)
Annealing Temperature (°C)
Pressure (Pa)
pH
Solvent Concentration (M)
Surfactant Concentration (M)
Particle Diameter (nm)
Polymer Molecular Weight (g/mol)
Curing Temperature (°C)
Synthesis Temperature (°C)
Synthesis Time (min)
Stirring Speed (rpm)
Mixing Time (min)
Dispersing Time (min)
Ultrasound Power (W)
Ultrasound Time (min)
Rotational Speed (rpm)
Holding Time (min)
Evaporation Temperature (°C)
Drying Temperature (°C)
Drying Time (h)
Calcination Temperature (°C)
Calcination Time (h)
Heat Treatment Temperature (°C)
Heat Treatment Time (h)
Crosslinking Density (mol/m³)
Reaction Temperature (°C)
Reaction Time (h)
Incubation Temperature (°C)
Incubation Time (h)
Aging Temperature (°C)
Storage Time (days)
Exposure Time (h)
Light Intensity (W/m²)
UV Exposure Time (h)
Gamma Radiation Dose (Gy)
X-ray Dose (Gy)
Neutron Flux (n/cm²/s)
Electron Beam Dose (Gy)
Ion Beam Dose (Gy)
Magnetic Field Strength (T)
Dielectric Constant
Dielectric Loss
Specific Surface Area (m²/g)
Pore Size (nm)
Pore Volume (cm³/g)
Crystallinity (%)
Crystallization Temperature (°C)
Melting Temperature (°C)
Glass Transition Temperature (°C)
Softening Temperature (°C)
Degradation Temperature (°C)
Decomposition Temperature (°C)
Thermal Conductivity (W/(m·K))
Thermal Diffusivity (mm²/s)
Coefficient Of Thermal Expansion (1/K)
Specific Heat Capacity (J/(g·K))
Heat Capacity (J/K)
Mechanical Strength (MPa)
Young’s Modulus (GPa)
Tensile Strength (MPa)
Elongation At Break (%)
Hardness (HV)
Loading Concentration (%)
Filler Content (%)
vol%
wt%
Volume Fraction (%)
Nanoparticle Volume (%)
Nanoparticle Mass (%)
filler labels
Loading Concentration (%)
Filler Content (%)
vol% 
wt%
Volume Fraction (%)
Volume Fraction
Nanoparticle Volume (%)
Nanoparticle Mass (%)
